Titre,Tag,Question,Détail,Cout,Localisation
Abris pour les personnes sans domicile fixe,Solidarité et cohésion sociale,Êtes vous pour la création d'abris pour les personnes sans domicile ?,Des abris pour les personnes sans domicile fixe,"€5,000,000.00",Toute la ville
+ plus de toilettes et + de technologie au service de la propreté,Propreté,Êtes vous pour plus de toilettes et plus de technologie au service de la propreté ?,Paris plus propre : plus de toilettes et plus de technologie au service de la propreté,"€2,000,000.00",Toute la ville
Alimentation : du gaspillage au partage,Solidarité et cohésion sociale,Êtes vous pour passer du gaspillage au partage ?,Alimentation : du gaspillage au partage,"€1,500,000.00",Toute la ville
Plus de nature en ville,Environnement,Êtes vous pour plus de nature en ville ?,Plus de nature en ville,"€4,500,000.00",Toute la ville
Réinventons nos places des quartiers populaires !,Cadre de vie,blablablablabla ?,Réinventons nos places des quartiers populaires !,"€3,500,000.00",Toute la ville
Plus de végétal dans les quartiers populaires,Environnement,blablablablabla ?,Plus de végétal dans les quartiers populaires,"€2,200,000.00",Toute la ville
Plus de commerces dans les quartiers populaires,Economie,blablablablabla ?,Plus de commerces dans les quartiers populaires,"€2,500,000.00",Toute la ville
Des quartiers populaires à énergie positives,Environnement,blablablablabla ?,Des quartiers populaires à énergie positives,"€2,000,000.00",Toute la ville
Espaces de travail publics,Education jeunesse,blablablablabla ?,Espaces de travail publics,"€2,300,000.00",Toute la ville
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires,Education jeunesse,blablablablabla ?,Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires,"€1,000,000.00",Toute la ville
Agir en faveur de la vitalité associative des quartiers populaires !,Solidarité et cohésion sociale,blablablablabla ?,Agir en faveur de la vitalité associative des quartiers populaires !,"€3,500,000.00",Toute la ville
Un terrain de basket aux Halles,Sport,blablablablabla ?,Un terrain de basket aux Halles,"€200,000.00",1er
Installation de 2 fontaines Wallace place des Innocents,Santé,blablablablabla ?,Installation de 2 fontaines Wallace place des Innocents,"€100,000.00",1er
Des instruments pour le Conservatoire du Centre,Culture et Patrimoine,blablablablabla ?,Des instruments pour le Conservatoire du Centre,"€12,257.00",1er
Un lieu pour les jeunes par les jeunes,Education jeunesse,blablablablabla ?,Un lieu pour les jeunes par les jeunes,"€400,000.00",2ème
Végétaliser un mur rue Paul Lelong,Cadre de vie,blablablablabla ?,Végétaliser un mur rue Paul Lelong,"€10,000.00",2ème
Embellissement du coin des rues de Tracy et Saint-Denis,Environnement,blablablablabla ?,Embellissement du coin des rues de Tracy et Saint-Denis,"€10,000.00",2ème
Armoire à dons dans le 2e,Solidarité et cohésion sociale,blablablablabla ?,Armoire à dons dans le 2e,10 000€,2ème
Rénovation et embellissement des rues Saint-Marc et des Panoramas,Cadre de vie,blablablablabla ?,Rénovation et embellissement des rues Saint-Marc et des Panoramas,"€500,000.00",2ème
Une place d’Alexandrie plus agréable,Cadre de vie,blablablablabla ?,Une place d’Alexandrie plus agréable,"€250,000.00",2ème
Une « Bricothèque » pour notre quartier - Emprunt d’outils et bricolage,Solidarité et cohésion sociale,blablablablabla ?,Une « Bricothèque » pour notre quartier - Emprunt d’outils et bricolage,"€15,000.00",3ème
Des bancs et assises pour le 3eme arrondissement,Cadre de vie,blablablablabla ?,Des bancs et assises pour le 3eme arrondissement,"€40,000.00",3ème
Des ludothèques pour nos écoles maternelles,Education jeunesse,blablablablabla ?,Des ludothèques pour nos écoles maternelles,"€30,000.00",3ème
"Pour une rue du Grenier Saint-Lazare conviviale, apaisée et verte",Cadre de vie,blablablablabla ?,"Pour une rue du Grenier Saint-Lazare conviviale, apaisée et verte","€450,000.00",3ème
Végétalisation du début de la rue du Vertbois,Environnement,blablablablabla ?,Végétalisation du début de la rue du Vertbois,"€10,000.00",3ème
"Parvis St-Nicolas-des-Champs : un lieu apaisé, convivial et vert",Cadre de vie,blablablablabla ?,"Parvis St-Nicolas-des-Champs : un lieu apaisé, convivial et vert","€650,000.00",3ème
"Aménagements, grand écran, lecture et convivialité au Carreau du Temple",Culture et Patrimoine,blablablablabla ?,"Nouveaux aménagements, grand écran, lecture et convivialité au Carreau du Temple","€300,000.00",3ème
Jardin pédagogique et énergie positive à l’école Saint-Martin,Environnement,blablablablabla ?,Jardin pédagogique et énergie positive à l’école Saint-Martin,"€300,000.00",3ème
Le Conseil Municipal des Enfants redessine les cours des écoles élémentaires,Education jeunesse,blablablablabla ?,Le Conseil Municipal des Enfants redessine les cours des écoles élémentaires,"€70,000.00",4ème
