 ;Hombres;Mujeres;ZONA;DIA;HORARIO;LUGAR VOTACION
Adalia;31;22;NORTE;09/09/2021;09:45 - 10:15;Pza. Antonio Rodríguez Calvo, 1
Aguasal;12;6;SUR;02/09/2021;12:45 - 13:45;C/ Olmedo, 15
Aguilar de Campos;146;108;NORTE;13/09/2021;12:15 - 13:15;C/ Derecha, 13
Alaejos;738;641;SUR;09/09/2021;10:30 - 13:30;Pza. Mayor
Alcazarén;344;286;SUR;14/09/2021;11:30 - 13:30;Pza. Mayor
Aldea de San Miguel;118;95;SUR;09/09/2021;14:00 - 15:00;Pza. Mayor
Aldeamayor de San Martín;2.917;2.717;SUR;03/09/ y 04/09/2021;10:30 - 15:00 y 16:30 - 20:00;Pza. Mayor y Avda. Valladolid, 13-15 (espacio joven/centro de día)
Almenara de Adaja;11;11;SUR;01/09/2021;11:30 - 12:30;Pza. Mayor
Amusquillo;63;39;ESTE;09/09/2021;11:00 - 12:00;Pza. Mayor, s/n
Ataquines;312;257;SUR;06/09/2021;10:00 - 12:00;Pza. Mayor
Bahabón;49;54;ESTE;15/09/2021;09:45 - 10:45;C/ Eulogio Varela, s/n
Barcial de la Loma;51;40;NORTE;10/09/2021;09:30 - 10:30;Pza. Doctor Lebrero
Barruelo del Valle;30;18;NORTE;09/09/2021;13:45 - 14:15;Pza. de la Constitución
Becilla de Valderaduey;133;101;NORTE;09/09/2021;12:15 - 13:15;Pza. Mayor
Benafarces;36;33;NORTE;13/09/2021;14:00 - 15:00;Pza. Mayor
Bercero;108;88;NORTE;03/09/2021;09:45 - 10:45;C/ Real de Santa María, 9
Berceruelo;22;13;NORTE;03/09/2021;11:15 - 11:45;Pza. Mayor
Berrueces;61;47;NORTE;14/09/2021;09:30 - 10:30;Pza. Capitán Pérez Revuelta
Bobadilla del Campo;163;129;SUR;07/09/2021;14:00 - 15:00;Pza. Mayor
Bocigas;48;42;SUR;01/09/2021;12:45 - 13:45;Pza. Mayor
Bocos de Duero;36;36;ESTE;01/09/2021;13:30 - 14:30;C/ La Plaza, 26
Boecillo;2.118;2.030;SUR;05/09/2021;10:30 - 15:00 y 16:30 - 20:00;Pza. Condes de Gamazo y C/ Germán Gamazo y Calvo (Centro cívico)
Bolaños de Campos;162;127;NORTE;10/09/2021;10:45 - 11:45;Pza. del Ayuntamiento
Brahojos de Medina;60;56;SUR;13/09/2021;11:15 - 12:15;Pza. Mayor
Bustillo de Chaves;36;29;NORTE;06/09/2021;11:15 - 12:15;Pza. Mayor
Bustillo de Chaves (GORDALIZA DE LA LOMA);;;NORTE;06/09/2021;13:30 - 14:30;Pza. Mayor
